margin,accuracy,macro_f1,draw_recall,draws_predicted,n,n_draws,fold
0.0,0.6159,0.5628,0.293,192,992,215,2019
0.02,0.6159,0.5755,0.3721,235,992,215,2019
0.04,0.6169,0.5903,0.4698,289,992,215,2019
0.06,0.6069,0.5889,0.5302,339,992,215,2019
0.08,0.5998,0.5869,0.5907,379,992,215,2019
0.1,0.5877,0.5801,0.6186,410,992,215,2019
0.12,0.5887,0.5847,0.6698,441,992,215,2019
0.14,0.5665,0.5652,0.6791,474,992,215,2019
0.16,0.5544,0.5553,0.707,500,992,215,2019
0.18,0.5413,0.5462,0.7395,536,992,215,2019
0.2,0.5292,0.5366,0.7628,561,992,215,2019
0.0,0.5116,0.4844,0.266,91,346,94,2020
0.02,0.5058,0.4932,0.3723,116,346,94,2020
0.04,0.5058,0.4994,0.4362,134,346,94,2020
0.06,0.4913,0.4898,0.4894,155,346,94,2020
0.08,0.4798,0.4785,0.5532,173,346,94,2020
0.1,0.4538,0.454,0.5745,188,346,94,2020
0.12,0.4451,0.4437,0.617,199,346,94,2020
0.14,0.4393,0.4378,0.617,202,346,94,2020
0.16,0.4191,0.4154,0.6489,218,346,94,2020
0.18,0.4133,0.4089,0.6596,223,346,94,2020
0.2,0.4191,0.4099,0.7234,234,346,94,2020
0.0,0.628,0.5674,0.253,197,1078,249,2021
0.02,0.6327,0.5867,0.3293,239,1078,249,2021
0.04,0.6187,0.586,0.3976,297,1078,249,2021
0.06,0.6104,0.5867,0.4538,341,1078,249,2021
0.08,0.603,0.583,0.4739,368,1078,249,2021
0.1,0.5918,0.5764,0.502,401,1078,249,2021
0.12,0.5779,0.5683,0.5301,436,1078,249,2021
0.14,0.5705,0.5652,0.5542,458,1078,249,2021
0.16,0.5649,0.5616,0.5823,481,1078,249,2021
0.18,0.5575,0.559,0.6265,516,1078,249,2021
0.2,0.5473,0.5506,0.6667,547,1078,249,2021
0.0,0.5311,0.4936,0.2788,238,900,208,2022
0.02,0.5311,0.5068,0.375,288,900,208,2022
0.04,0.5222,0.5075,0.4423,334,900,208,2022
0.06,0.5144,0.506,0.5,378,900,208,2022
0.08,0.5167,0.5137,0.5769,420,900,208,2022
0.1,0.4989,0.4992,0.601,448,900,208,2022
0.12,0.4911,0.4929,0.6394,472,900,208,2022
0.14,0.4811,0.4836,0.6827,503,900,208,2022
0.16,0.4689,0.4727,0.6923,523,900,208,2022
0.18,0.4544,0.4581,0.6971,541,900,208,2022
0.2,0.4433,0.4449,0.7212,564,900,208,2022
0.0,0.5833,0.5354,0.2692,196,912,208,2023
0.02,0.5724,0.5335,0.3077,231,912,208,2023
0.04,0.5614,0.5309,0.3462,263,912,208,2023
0.06,0.5537,0.5309,0.3846,294,912,208,2023
0.08,0.545,0.5272,0.4135,319,912,208,2023
0.1,0.5362,0.5232,0.4327,342,912,208,2023
0.12,0.534,0.5259,0.4808,372,912,208,2023
0.14,0.5362,0.532,0.5288,398,912,208,2023
0.16,0.5307,0.5288,0.5625,418,912,208,2023
0.18,0.5208,0.5212,0.5865,440,912,208,2023
0.2,0.5077,0.5111,0.601,462,912,208,2023
0.0,0.5815,0.5204,0.2049,185,1135,288,2024
0.02,0.5762,0.5289,0.2535,241,1135,288,2024
0.04,0.5753,0.5399,0.3125,287,1135,288,2024
0.06,0.5718,0.545,0.3715,335,1135,288,2024
0.08,0.5665,0.5472,0.4201,379,1135,288,2024
0.1,0.5586,0.5438,0.4479,409,1135,288,2024
0.12,0.5463,0.5381,0.5,464,1135,288,2024
0.14,0.5348,0.5321,0.5486,512,1135,288,2024
0.16,0.5304,0.5299,0.5938,544,1135,288,2024
0.18,0.5225,0.5239,0.625,578,1135,288,2024
0.2,0.5137,0.5182,0.6562,611,1135,288,2024
0.0,0.5911,0.524,0.1981,147,922,207,2025
0.02,0.5781,0.5207,0.2222,184,922,207,2025
0.04,0.5738,0.5331,0.2995,234,922,207,2025
0.06,0.5705,0.5395,0.3575,267,922,207,2025
0.08,0.5629,0.5387,0.3961,298,922,207,2025
0.1,0.5586,0.5414,0.4541,335,922,207,2025
0.12,0.5575,0.5437,0.4928,357,922,207,2025
0.14,0.5531,0.5443,0.5411,386,922,207,2025
0.16,0.5445,0.5402,0.5749,419,922,207,2025
0.18,0.5304,0.5298,0.6039,447,922,207,2025
0.2,0.5152,0.516,0.628,474,922,207,2025
0.0,0.5523,0.5101,0.2688,87,373,93,2026
0.02,0.5416,0.5101,0.3441,107,373,93,2026
0.04,0.5442,0.5255,0.4409,125,373,93,2026
0.06,0.5442,0.5326,0.5161,146,373,93,2026
0.08,0.5496,0.5403,0.5914,162,373,93,2026
0.1,0.5335,0.5283,0.6237,181,373,93,2026
0.12,0.5201,0.5212,0.6452,194,373,93,2026
0.14,0.5121,0.5135,0.6774,203,373,93,2026
0.16,0.4879,0.4943,0.7097,221,373,93,2026
0.18,0.4853,0.4896,0.7527,230,373,93,2026
0.2,0.4718,0.4743,0.7742,240,373,93,2026
