margin,accuracy,macro_f1,draw_recall,draws_predicted,n,n_draws,fold
0.0,0.5333,0.5238,0.3333,5,15,3,1998
0.02,0.5333,0.5238,0.3333,5,15,3,1998
0.04,0.6,0.6242,0.6667,7,15,3,1998
0.06,0.6,0.6242,0.6667,7,15,3,1998
0.08,0.4667,0.5,0.6667,9,15,3,1998
0.1,0.4667,0.5,0.6667,9,15,3,1998
0.12,0.4667,0.5,0.6667,9,15,3,1998
0.14,0.4667,0.5,0.6667,9,15,3,1998
0.16,0.4667,0.458,1.0,11,15,3,1998
0.18,0.4667,0.458,1.0,11,15,3,1998
0.2,0.4667,0.458,1.0,11,15,3,1998
0.0,0.5,0.4329,0.0,5,16,2,2002
0.02,0.4375,0.3963,0.0,6,16,2,2002
0.04,0.4375,0.4205,0.0,7,16,2,2002
0.06,0.375,0.3778,0.0,8,16,2,2002
0.08,0.375,0.3889,0.5,10,16,2,2002
0.1,0.375,0.3889,0.5,10,16,2,2002
0.12,0.375,0.3915,1.0,12,16,2,2002
0.14,0.375,0.3915,1.0,12,16,2,2002
0.16,0.25,0.2738,1.0,14,16,2,2002
0.18,0.1875,0.1895,1.0,15,16,2,2002
0.2,0.1875,0.1895,1.0,15,16,2,2002
0.0,0.875,0.875,1.0,4,16,4,2006
0.02,0.875,0.875,1.0,4,16,4,2006
0.04,0.75,0.7302,1.0,8,16,4,2006
0.06,0.6875,0.6242,1.0,9,16,4,2006
0.08,0.6875,0.6242,1.0,9,16,4,2006
0.1,0.5625,0.4342,1.0,11,16,4,2006
0.12,0.5625,0.4342,1.0,11,16,4,2006
0.14,0.5625,0.4342,1.0,11,16,4,2006
0.16,0.5625,0.4342,1.0,11,16,4,2006
0.18,0.5625,0.4342,1.0,11,16,4,2006
0.2,0.5625,0.4342,1.0,11,16,4,2006
0.0,0.625,0.4949,0.0,3,24,5,2010
0.02,0.625,0.5477,0.2,5,24,5,2010
0.04,0.625,0.5477,0.2,5,24,5,2010
0.06,0.625,0.5547,0.2,6,24,5,2010
0.08,0.6667,0.619,0.4,7,24,5,2010
0.1,0.625,0.5915,0.4,8,24,5,2010
0.12,0.625,0.5915,0.4,8,24,5,2010
0.14,0.625,0.617,0.6,10,24,5,2010
0.16,0.625,0.617,0.6,10,24,5,2010
0.18,0.5833,0.5757,0.6,11,24,5,2010
0.2,0.5833,0.5757,0.6,11,24,5,2010
0.0,0.5625,0.4497,0.0,3,16,4,2014
0.02,0.5625,0.4497,0.0,3,16,4,2014
0.04,0.5,0.4258,0.0,4,16,4,2014
0.06,0.5,0.4972,0.25,6,16,4,2014
0.08,0.5,0.4972,0.25,6,16,4,2014
0.1,0.5,0.4861,0.5,8,16,4,2014
0.12,0.5,0.3651,0.75,10,16,4,2014
0.14,0.5,0.3651,0.75,10,16,4,2014
0.16,0.5,0.3651,0.75,10,16,4,2014
0.18,0.4375,0.3238,0.75,11,16,4,2014
0.2,0.4375,0.3238,0.75,11,16,4,2014
0.0,0.375,0.362,0.25,5,16,4,2018
0.02,0.375,0.3697,0.25,6,16,4,2018
0.04,0.3125,0.3152,0.25,7,16,4,2018
0.06,0.25,0.2661,0.25,9,16,4,2018
0.08,0.3125,0.346,0.5,11,16,4,2018
0.1,0.25,0.2611,0.5,12,16,4,2018
0.12,0.25,0.2611,0.5,12,16,4,2018
0.14,0.1875,0.1451,0.5,13,16,4,2018
0.16,0.25,0.1778,0.75,14,16,4,2018
0.18,0.25,0.1778,0.75,14,16,4,2018
0.2,0.25,0.1778,0.75,14,16,4,2018
0.0,0.5,0.4545,0.4,6,16,5,2022
0.02,0.5,0.4667,0.4,7,16,5,2022
0.04,0.5,0.4667,0.4,7,16,5,2022
0.06,0.4375,0.3248,0.4,8,16,5,2022
0.08,0.375,0.2788,0.6,11,16,5,2022
0.1,0.375,0.2788,0.6,11,16,5,2022
0.12,0.375,0.2593,0.8,13,16,5,2022
0.14,0.4375,0.2865,1.0,14,16,5,2022
0.16,0.4375,0.2865,1.0,14,16,5,2022
0.18,0.4375,0.2865,1.0,14,16,5,2022
0.2,0.4375,0.2865,1.0,14,16,5,2022
